UID,Response ID,Status,Your birth YEAR (Ex. 1988),Your AVANCE site: ,Dallas Sites,"P-C Interactions, ECLS-B_READ",...8,"P-C Interactions, ECLS-B...9",...10,"P-C Interactions, ECLS-B...11",...12,"P-C Interactions, ECLS-B...13",...14,"P-C Interactions, HOME...15",...16,"P-C Interactions, HOME...17",...18,ECLSB_ALL,Parental Stress_PSOC #1,...21,Parental Stress_PSOC #2,R...23,Parental Stress_PSOC #3,R...25,Parental Stress_PSOC #5,R...27,Parental Stress_PSOC #8,R...29,Parental Stress_PSOC #10,...31,Parental Stress_PSOC #13,...33,Parental Stress_PSOC #15,...35,Parental Stress_PSOC #16,...37,Parental Stress_PSOC #17,...39,psoc_all,"P-C Interactions, FIQ SBI1",...42,"P-C Interactions, FIQ SBI2",...44,"P-C Interactions, FIQ SBI3",...46,"P-C Interactions, FIQ SBI4",...48,FIQSB_ALL,"P-C Interactions, FIQ HBI1",...51,"P-C Interactions, FIQ HBI2",...53,"P-C Interactions, FIQ HBI3",...55,"P-C Interactions, FIQ HBI4",...57,"P-C Interactions, FIQ HBI5",...59,"P-C Interactions, FIQ HBI6",...61,"P-C Interactions, FIQ HBI8",...63,"P-C Interactions, FIQ HBI9",...65,"P-C Interactions, FIQ HBI10",...67,"P-C Interactions, FIQ HBI11",...69,"P-C Interactions, FIQ HBI12",...71,"P-C Interactions, FIQ HBI13",...73,fiqhb_all,"P-C Interactions, FIQ HSC3",...76,"P-C Interactions, FIQ HSC4",...78,"P-C Interactions, FIQ HSC5",...80,"P-C Interactions, FIQ HSC6",...82,"P-C Interactions, FIQ HSC7",...84,FIQHSC_ALL,Efficacy FES1,...87,Efficacy FES3,...89,Efficacy FES4,...91,Efficacy FES6,...93,FESFAM_ALL,Efficacy FES7,...96,Efficacy FES9,...98,Efficacy FES10,...100,Efficacy FES11,...102,Efficacy FES14,...104,FESADV_ALL,Belonging SCS1,R...107,Belonging SCS2,R...109,Belonging SCS3,R...111,Belonging SCS4,R...113,Belonging SCS5,R...115,Belonging SCS6,R...117,Belonging SCS7,...119,Belonging SCS10,...121,Belonging SCS11,...123,SCS_ALL,Kinder Readiness SPEAK1,FIVE...126,Kinder Readiness SPEAK2,FIVE...128,Kinder Readiness SPEAK3,FIVE...130,Kinder Readiness SPEAK4,...132,Kinder Readiness SPEAK5,...134,Kinder Readiness SPEAK6 - REVERSE,R...136,Kinder Readiness SPEAK7 - REVERSE,R...138,Kinder Readiness SPEAK9,...140,Kinder Readiness SPEAK10,...142,Kinder Readiness SPEAK11,...144,Kinder Readiness SPEAK12,...146,Kinder Readiness SPEAK13,...148,Kinder Readiness SPEAK13 - REVERSE,...150,Kinder Readiness SPEAK14,...152,Kinder Readiness SPEAK15,...154,SPEAK_ALL
NA,119,Partial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A4519,811,Complete,1997,Dallas,Anson Jones,Not at all,1,1 to 2 times a week,2,1 to 2 times a week,2,Every day,4,Parents should <strong>usually</strong> spend time teaching their children,1,NA,NA,10,Agree,5,Somewhat Agree,3,Strongly Disagree,6,Somewhat Agree,3,Agree,2,Somewhat Disagree,3,Disagree,2,Somewhat Agree,4,Somewhat Agree,4,Agree,5,37,N/A,0,N/A,0,N/A,0,N/A,0,0,Always,4,Rarely,1,Often,3,Often,3,Often,3,Sometimes,2,Sometimes,2,Sometimes,2,Always,4,Rarely,1,Always,4,N/A,0,29,N/A,0,Rarely,1,Rarely,1,Rarely,1,Rarely,1,4,Often,4,Often,4,Always,5,Always,5,18,Often,4,Always,5,Always,5,Always,5,Sometimes,3,22,Slightly Agree,3,Slightly Agree,3,Disagree,5,Slightly Agree,3,Slightly Disagree,4,Agree,2,Slightly Agree,4,Agree,5,Disagree,2,31,"As an infant, 0 to 6 months",5,"As a toddler, 1 to 3 years",3,"As an infant, 0 to 6 months",5,Agree,1,Agree,1,Agree,3,Agree,3,Agree,1,Disagree,3,Neutral,2,Agree,1,Disagree,3,Disagree,3,Disagree,3,Neutral,2,39
NA,121,Partial,1979,Dallas,Fort Worth 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A6929,249,Complete,1994,Dallas,Moseley,3 to 6 times a week,3,3 to 6 times a week,3,3 to 6 times a week,3,Every day,4,Parents should <strong>always</strong> spend time teaching their children,1,NA,NA,14,Agree,5,Strongly Disagree,6,Disagree,5,Somewhat Disagree,4,Agree,2,Agree,5,Agree,5,Strongly Disagree,1,Strongly Disagree,1,Agree,5,39,N/A,0,N/A,0,N/A,0,N/A,0,0,Often,3,Often,3,Often,3,Often,3,Always,4,Often,3,Often,3,Always,4,Always,4,Often,3,Always,4,N/A,0,37,N/A,0,Rarely,1,Rarely,1,Rarely,1,Rarely,1,4,Always,5,Always,5,Always,5,Always,5,20,Always,5,Always,5,Always,5,Always,5,Always,5,25,Disagree,5,Strongly Disagree,6,Strongly Disagree,6,Strongly Disagree,6,Disagree,5,Disagree,5,Agree,5,Agree,5,Disagree,2,45,"As a baby, 6 to 12 months",4,"As a baby, 6 to 12 months",4,"In preschool, 3 to 5 years",2,Agree,1,Strongly Disagree,4,Strongly Disagree,0,Strongly Agree,4,Neutral,2,Strongly Disagree,4,Neutral,2,Disagree,3,Strongly Disagree,4,Disagree,3,Neutral,2,Agree,1,40
NA,123,Partial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,124,Partial,1981,Dallas,Fort Worth 1,1 to 2 times  a week,2,Not at all,1,Every day,4,Every day,4,Parents should <strong>always</strong> spend time teaching their children,1,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,125,Partial,1993,Dallas,Fort Worth 1,1 to 2 times  a week,2,Not at all,1,Not at all,1,1 to 2 times a week,2,Parents should <strong>always</strong> spend time teaching their children,1,Often,4,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A4875,74,Complete,1979,Dallas,Cochran,3 to 6 times a week,3,1 to 2 times a week,2,Every day,4,Every day,4,Parents should <strong>always</strong> spend time teaching their children,1,NA,NA,14,Agree,5,Somewhat Agree,3,Somewhat Disagree,4,Somewhat Agree,3,Agree,2,Agree,5,Agree,5,Somewhat Agree,4,Somewhat Agree,4,Strongly Agree,6,41,Sometimes,2,Sometimes,2,Always,4,N/A,0,8,Sometimes,2,Sometimes,2,Often,3,Often,3,Sometimes,2,Always,4,Often,3,Always,4,Often,3,Always,4,Often,3,Sometimes,2,35,Often,3,Always,4,Always,4,Often,3,Often,3,17,Always,5,Always,5,Always,5,Sometimes,3,18,Often,4,Always,5,Sometimes,3,Always,5,Sometimes,3,20,Strongly Disagree,6,Disagree,5,Strongly Disagree,6,Strongly Disagree,6,Strongly Disagree,6,Strongly Disagree,6,Agree,5,Agree,5,Agree,5,50,"As a baby, 6 to 12 months",4,"As an infant, 0 to 6 months",5,"As a toddler, 1 to 3 years",3,Disagree,3,Neutral,2,Agree,3,Agree,3,Agree,1,Disagree,3,Disagree,3,Agree,1,Disagree,3,Agree,1,Disagree,3,Disagree,3,41
A9444,386,Complete,1980,Dallas,Blanton,3 to 6 times a week,3,1 to 2 times a week,2,1 to 2 times a week,2,Every day,4,Parents should <strong>always</strong> spend time teaching their children,1,NA,NA,12,Agree,5,Somewhat Agree,3,Somewhat Agree,3,Disagree,5,Agree,2,Strongly Agree,6,Agree,5,Agree,5,Disagree,2,Strongly Agree,6,42,Sometimes,2,Sometimes,2,Often,3,Sometimes,2,9,Often,3,Sometimes,2,Sometimes,2,Always,4,Often,3,Often,3,Often,3,Always,4,Sometimes,2,Often,3,Often,3,Always,4,36,Often,3,Sometimes,2,Sometimes,2,Often,3,Often,3,13,Always,5,Often,4,Sometimes,3,Often,4,16,Sometimes,3,Often,4,Never,1,Always,5,Often,4,17,Strongly Disagree,6,Strongly Disagree,6,Strongly Disagree,6,Strongly Disagree,6,Strongly Agree,1,Strongly Disagree,6,Agree,5,Agree,5,Agree,5,46,"As a toddler, 1 to 3 years",3,"As an infant, 0 to 6 months",5,"As a baby, 6 to 12 months",4,Strongly Disagree,4,Strongly Disagree,4,Strongly Agree,4,Strongly Agree,4,Strongly Agree,0,Strongly Disagree,4,Strongly Disagree,4,Strongly Disagree,4,Strongly Disagree,4,Strongly Disagree,4,Strongly Disagree,4,Strongly Agree,0,52
A7596,633,Complete,1995,Dallas,Sims,1 to 2 times  a week,2,3 to 6 times a week,3,Every day,4,1 to 2 times a week,2,Parents should <strong>usually</strong> spend time teaching their children,1,NA,NA,12,Agree,5,Somewhat Disagree,4,Somewhat Disagree,4,Somewhat Agree,3,Somewhat Agree,3,Somewhat Agree,4,Agree,5,Somewhat Agree,4,Somewhat Agree,4,Strongly Agree,6,42,N/A,0,N/A,0,N/A,0,Sometimes,2,2,Often,3,Often,3,Always,4,Often,3,Sometimes,2,Sometimes,2,Sometimes,2,Often,3,Rarely,1,Always,4,Often,3,Always,4,34,N/A,0,Always,4,Often,3,Sometimes,2,Always,4,13,Often,4,Always,5,Always,5,Often,4,18,Always,5,Always,5,Often,4,Often,4,Often,4,22,Slightly Disagree,4,Disagree,5,Disagree,5,Agree,2,Slightly Disagree,4,Disagree,5,Agree,5,Agree,5,Agree,5,40,"As an infant, 0 to 6 months",5,"As an infant, 0 to 6 months",5,"As an infant, 0 to 6 months",5,Strongly Disagree,4,Disagree,3,Agree,3,Strongly Agree,4,Agree,1,Strongly Disagree,4,Disagree,3,Neutral,2,Strongly Disagree,4,Strongly Disagree,4,Disagree,3,Neutral,2,52
A3998,302,Complete,1981,Dallas,Hooe,1 to 2 times  a week,2,1 to 2 times a week,2,1 to 2 times a week,2,1 to 2 times a week,2,Parents should <strong>always</strong> spend time teaching their children,1,NA,NA,9,Agree,5,Somewhat Agree,3,Agree,2,Somewhat Agree,3,Agree,2,Agree,5,Agree,5,Agree,5,Agree,5,Agree,5,40,N/A,0,N/A,0,N/A,0,N/A,0,0,Often,3,Often,3,Sometimes,2,Often,3,Often,3,Sometimes,2,Rarely,1,Often,3,Often,3,Often,3,Often,3,Sometimes,2,31,Rarely,1,Sometimes,2,Sometimes,2,Often,3,Rarely,1,9,Often,4,Often,4,Sometimes,3,Often,4,15,Never,1,Never,1,Sometimes,3,Seldom,2,Sometimes,3,10,Slightly Disagree,4,Disagree,5,Disagree,5,Slightly Disagree,4,Disagree,5,Disagree,5,Agree,5,Agree,5,Strongly Agree,6,44,"As a toddler, 1 to 3 years",3,"As a toddler, 1 to 3 years",3,"As a toddler, 1 to 3 years",3,Disagree,3,Neutral,2,Agree,3,Strongly Agree,4,Strongly Agree,0,Disagree,3,Disagree,3,Agree,1,Strongly Disagree,4,Disagree,3,Strongly Disagree,4,Strongly Agree,0,39
A3484,536,Complete,1987,Dallas,Peak,1 to 2 times  a week,2,Not at all,1,1 to 2 times a week,2,Not at all,1,Parents should <strong>usually</strong> spend time teaching their children,1,NA,NA,7,Strongly Agree,6,Disagree,5,Agree,2,Somewhat Disagree,4,Strongly Agree,1,Agree,5,Strongly Agree,6,Agree,5,Disagree,2,Strongly Agree,6,42,N/A,0,N/A,0,N/A,0,Rarely,1,1,Sometimes,2,Sometimes,2,Sometimes,2,Rarely,1,Rarely,1,Sometimes,2,Rarely,1,Often,3,Sometimes,2,Always,4,Rarely,1,N/A,0,21,N/A,0,Sometimes,2,Often,3,Rarely,1,Sometimes,2,8,Often,4,Often,4,Often,4,Often,4,16,Sometimes,3,Sometimes,3,Sometimes,3,Sometimes,3,Sometimes,3,15,Strongly Disagree,6,Disagree,5,Disagree,5,Strongly Disagree,6,Strongly Disagree,6,Disagree,5,Agree,5,Agree,5,Slightly Agree,4,47,"As a toddler, 1 to 3 years",3,"As a baby, 6 to 12 months",4,"As a toddler, 1 to 3 years",3,Strongly Agree,0,Strongly Disagree,4,Strongly Disagree,0,Disagree,1,Agree,1,Disagree,3,Disagree,3,Agree,1,Disagree,3,Neutral,2,Neutral,2,Strongly Agree,0,30
NA,131,Partial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,132,Partial,2000,Dallas,Pleasant Grove,Not at all,1,Not at all,1,1 to 2 times a week,2,3 to 6 times a week,3,Parents should <strong>always</strong> spend time teaching their children,1,Always,5,13,Somewhat Disagree,3,Disagree,5,Somewhat Agree,3,Agree,2,Agree,2,Somewhat Disagree,3,Somewhat Agree,4,Somewhat Agree,4,Disagree,2,Strongly Agree,6,34,N/A,0,NA,NA,NA,NA,Rarely,1,NA,Rarely,1,Rarely,1,Sometimes,2,Rarely,1,Sometimes,2,Rarely,1,NA,NA,Sometimes,2,Rarely,1,NA,NA,Sometimes,2,NA,NA,NA,N/A,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A9394,69,Complete,1980,Dallas,Stevens Park,Not at all,1,Not at all,1,1 to 2 times a week,2,1 to 2 times a week,2,Parents should <strong>always</strong> spend time teaching their children,1,NA,NA,7,Agree,5,Somewhat Disagree,4,Disagree,5,Somewhat Disagree,4,Agree,2,Somewhat Agree,4,Strongly Agree,6,Somewhat Disagree,3,Disagree,2,Agree,5,40,N/A,0,N/A,0,Sometimes,2,Sometimes,2,4,Rarely,1,Rarely,1,Sometimes,2,Sometimes,2,Always,4,Always,4,Rarely,1,Rarely,1,Rarely,1,Always,4,Rarely,1,Always,4,26,Sometimes,2,Always,4,Always,4,Rarely,1,Rarely,1,12,Always,5,Always,5,Often,4,Often,4,18,Always,5,Always,5,Never,1,Always,5,Often,4,20,Disagree,5,Disagree,5,Disagree,5,Disagree,5,Disagree,5,Disagree,5,Strongly Agree,6,Agree,5,Disagree,2,43,"As a toddler, 1 to 3 years",3,"In preschool, 3 to 5 years",2,"As a toddler, 1 to 3 years",3,Disagree,3,Disagree,3,Strongly Disagree,0,Strongly Agree,4,Strongly Agree,0,Agree,1,Strongly Agree,0,Agree,1,Disagree,3,Disagree,3,Strongly Disagree,4,Disagree,3,33
A6876,206,Complete,1973,Dallas,Foster,1 to 2 times  a week,2,Not at all,1,1 to 2 times a week,2,1 to 2 times a week,2,Parents should <strong>always</strong> spend time teaching their children,1,NA,NA,8,Agree,5,Disagree,5,Disagree,5,Disagree,5,Somewhat Agree,3,Agree,5,Somewhat Agree,4,Agree,5,Disagree,2,Agree,5,44,N/A,0,Rarely,1,Sometimes,2,N/A,0,3,Rarely,1,Rarely,1,Rarely,1,Rarely,1,Rarely,1,Sometimes,2,Rarely,1,Always,4,Rarely,1,Rarely,1,Rarely,1,Always,4,19,Rarely,1,Rarely,1,Rarely,1,Sometimes,2,Rarely,1,6,Always,5,Always,5,Always,5,Always,5,20,Always,5,Always,5,Sometimes,3,Always,5,Always,5,23,Strongly Disagree,6,Strongly Disagree,6,Strongly Disagree,6,Strongly Disagree,6,Disagree,5,Disagree,5,Strongly Agree,6,Agree,5,Slightly Agree,4,49,"As a baby, 6 to 12 months",4,"As an infant, 0 to 6 months",5,"As a baby, 6 to 12 months",4,Strongly Agree,0,Neutral,2,Neutral,2,Neutral,2,Strongly Agree,0,Neutral,2,Neutral,2,Disagree,3,Disagree,3,Disagree,3,Neutral,2,Agree,1,35
NA,135,Partial,1979,Dallas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,136,Partial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,137,Partial,1984,Dallas,John R. Good,3 to 6 times a week,3,1 to 2 times a week,2,1 to 2 times a week,2,3 to 6 times a week,3,Parents should <strong>usually</strong> spend time teaching their children,1,Always,5,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,138,Disqualified,1983,Dallas,Sims,Not at all,1,Not at all,1,1 to 2 times a week,2,Not at all,1,Parents should <strong>always</strong> spend time teaching their children,1,NA,NA,6,Strongly Disagree,1,Somewhat Disagree,4,Strongly Disagree,6,Strongly Disagree,6,Strongly Disagree,6,Agree,5,Agree,5,Agree,5,Strongly Disagree,1,Strongly Agree,6,45,N/A,0,N/A,0,Rarely,1,N/A,0,1,Rarely,1,Sometimes,2,Sometimes,2,Sometimes,2,Sometimes,2,Sometimes,2,Sometimes,2,Sometimes,2,Rarely,1,Always,4,Rarely,1,N/A,0,21,Rarely,1,Sometimes,2,Sometimes,2,Rarely,1,Sometimes,2,8,Sometimes,3,Sometimes,3,Seldom,2,Sometimes,3,11,Seldom,2,Seldom,2,Seldom,2,Seldom,2,Sometimes,3,11,Slightly Agree,3,Slightly Agree,3,Strongly Disagree,6,Disagree,5,Strongly Disagree,6,Strongly Disagree,6,Slightly Agree,4,Slightly Agree,4,Strongly Disagree,1,38,"As an infant, 0 to 6 months",5,"As a baby, 6 to 12 months",4,"As a toddler, 1 to 3 years",3,Neutral,2,Disagree,3,Strongly Disagree,0,Strongly Disagree,0,Disagree,3,Disagree,3,Strongly Disagree,4,Strongly Disagree,4,Strongly Disagree,4,Strongly Disagree,4,Strongly Disagree,4,Strongly Disagree,4,47
A2517,647,Complete,2000,Dallas,Moseley,1 to 2 times  a week,2,1 to 2 times a week,2,1 to 2 times a week,2,Every day,4,Parents should <strong>always</strong> spend time teaching their children,1,NA,NA,11,Agree,5,Disagree,5,Disagree,5,Disagree,5,Agree,2,Agree,5,Agree,5,Agree,5,Disagree,2,Agree,5,44,N/A,0,N/A,0,N/A,0,N/A,0,0,Sometimes,2,Sometimes,2,Sometimes,2,Sometimes,2,Sometimes,2,Rarely,1,Rarely,1,Sometimes,2,Rarely,1,Always,4,Sometimes,2,Rarely,1,22,Sometimes,2,Sometimes,2,Sometimes,2,Sometimes,2,Sometimes,2,10,Always,5,Sometimes,3,Always,5,Sometimes,3,16,Sometimes,3,Sometimes,3,Sometimes,3,Sometimes,3,Sometimes,3,15,Disagree,5,Agree,2,Disagree,5,Disagree,5,Disagree,5,Disagree,5,Agree,5,Agree,5,Agree,5,42,"As a baby, 6 to 12 months",4,"As a toddler, 1 to 3 years",3,"In preschool, 3 to 5 years",2,Neutral,2,Disagree,3,Neutral,2,Agree,3,Neutral,2,Neutral,2,Agree,1,Agree,1,Neutral,2,Neutral,2,Agree,1,Agree,1,31
NA,140,Partial,1990,Dallas,Oak Hurst,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A1299,783,Complete,1994,Dallas,Anson Jones,Not at all,1,Not at all,1,Not at all,1,1 to 2 times a week,2,Parents should <strong>always</strong> spend time teaching their children,1,NA,NA,6,Agree,5,Disagree,5,Disagree,5,Agree,2,Strongly Agree,1,Strongly Agree,6,Agree,5,Agree,5,Disagree,2,Agree,5,41,N/A,0,Often,3,Always,4,Rarely,1,8,Often,3,Rarely,1,Always,4,Sometimes,2,Rarely,1,Rarely,1,Sometimes,2,Sometimes,2,Often,3,Always,4,Always,4,Always,4,31,Rarely,1,Always,4,Always,4,Always,4,Sometimes,2,15,Always,5,Always,5,Always,5,Sometimes,3,18,Never,1,Sometimes,3,Sometimes,3,Sometimes,3,Sometimes,3,13,Disagree,5,Disagree,5,Disagree,5,Disagree,5,Disagree,5,Disagree,5,Agree,5,Agree,5,Disagree,2,42,"As a baby, 6 to 12 months",4,"As an infant, 0 to 6 months",5,"In elementary school, 6 years and up",0,Agree,1,Disagree,3,Disagree,1,Neutral,2,Neutral,2,Neutral,2,Disagree,3,Disagree,3,Agree,1,Agree,1,Disagree,3,Agree,1,32
